54;CD-054;Conference Facilities;Conference Naz-Debrezeit-ILRI - Café - Per Person-Rental of Conference Hall in Nazareth/ Debrezeit / ILRI;UnitCost(US$);5
55;CD-055;Conference Facilities;Conference Naz-Debrezeit-ILRI - Cocktail - Per Person-Rental of Conference Hall in Nazareth/ Debrezeit / ILRI;UnitCost(US$);25
56;CD-056;Conference Facilities;Conference Naz-Debrezeit-ILRI - Buffet Lunch - Per Person-Rental of Conference Hall in Nazareth/ Debrezeit / ILRI;UnitCost(US$);35
57;CD-057;Conference Facilities;Conference OUTSIDE Addis - 100--200 People-Rental of Conference Hall Outside Addis;Daily Rate (US$);1500
58;CD-058;Conference Facilities;Conference OUTSIDE Addis - Up to 500 People-Rental of Conference Hall Outside Addis;Daily Rate (US$);1750
59;CD-059;Conference Facilities;Conference OUTSIDE Addis - More than 500 People-Rental of Conference Hall Outside Addis;Daily Rate (US$);2795
60;CD-060;Conference Facilities;Conference OUTSIDE Addis - Rental of Office for Secretariat-Rental of Conference Hall Outside Addis;Daily Rate (US$);300
61;CD-061;Conference Facilities;Conference OUTSIDE Addis - Wireless Internet Connection-Rental of Conference Hall Outside Addis;Daily Rate (US$);7
62;CD-062;Conference Facilities;Conference OUTSIDE Addis - Pause Café-Rental of Conference Hall Outside Addis;UnitCost(US$);15
63;CD-063;Conference Facilities;Conference OUTSIDE Addis - Cocktail-Rental of Conference Hall Outside Addis;UnitCost(US$);40
64;CD-064;Conference Facilities;Conference OUTSIDE Addis - Buffet Lunch-Rental of Conference Hall Outside Addis;UnitCost(US$);52
65;CD-065;Conference Materials;Translation Equipment (UP to 200 Persons (charge per Person)-Conference Materials;UnitCost(US$);1000
66;CD-066;Conference Materials;Translation Booth - Per Day-Conference Materials;UnitCost(US$);75
67;CD-067;Conference Materials;Technician - Per Day-Conference Materials;UnitCost(US$);50
68;CD-068;Conference Materials;Overhead Projector 500 - Per Day-Conference Materials;UnitCost(US$);100
69;CD-069;Conference Materials;Video-Photo Recording - Per Day-Conference Materials;UnitCost(US$);200
70;CD-070;Retreat - Workshop - Meeting;Stationary (Per person)-Retreat - Workshop - Meeting;UnitCost(US$);20
71;CD-071;Retreat - Workshop - Meeting;Car Rental - In Addis (Ethiopia)-Retreat - Workshop - Meeting;Daily Rate (US$);100
72;CD-072;Retreat - Workshop - Meeting;Car Rental Outside Ethiopia-Retreat - Workshop - Meeting;Daily Rate (US$);200
73;CD-073;Retreat - Workshop - Meeting;Toner Cartridge Canon C-EXV 11-COPIER TONERS;UnitCost(US$);150
74;CD-074;Retreat - Workshop - Meeting;Toner Cartridge Canon C-EXV 12-COPIER TONERS;UnitCost(US$);99
75;CD-075;Retreat - Workshop - Meeting;Toner Cartridge Canon C-EXV 15-COPIER TONERS;UnitCost(US$);162
76;CD-076;Retreat - Workshop - Meeting;Toner Cartridge Canon C-EXV 3-COPIER TONERS;UnitCost(US$);43
77;CD-077;Retreat - Workshop - Meeting;Toner Canon C-EXV 8/NPG-12 Black-COPIER TONERS;UnitCost(US$);159
78;CD-078;Retreat - Workshop - Meeting;Toner Cartridge Copier C-EXV 14 Black-COPIER TONERS;UnitCost(US$);91
79;CD-079;Retreat - Workshop - Meeting;Toner for copier Kyocera TK-6305-COPIER TONERS;UnitCost(US$);195
80;CD-080;Retreat - Workshop - Meeting;Toner for IR7105-C-EXV-15-COPIER TONERS;UnitCost(US$);210
81;CD-081;Retreat - Workshop - Meeting;Toner for canon 2545i C-EXV-32-COPIER TONERS;UnitCost(US$);85
82;CD-082;Retreat - Workshop - Meeting;Toner Cartridge HP C4096A-PRINTER TONERS;UnitCost(US$);66
83;CD-083;Retreat - Workshop - Meeting;Toner Cartridge HP Q2610A-PRINTER TONERS;UnitCost(US$);176
84;CD-084;Retreat - Workshop - Meeting;Toner Cartridge HP Q2670A Black-PRINTER TONERS;UnitCost(US$);211
85;CD-085;Retreat - Workshop - Meeting;Toner Cartridge HP Q5942A-PRINTER TONERS;UnitCost(US$);150
86;CD-086;Retreat - Workshop - Meeting;Toner Cartridge HP Q5949A-PRINTER TONERS;UnitCost(US$);100
87;CD-087;Retreat - Workshop - Meeting;Toner Cartridge HP Q7551A-PRINTER TONERS;UnitCost(US$);35
88;CD-088;Retreat - Workshop - Meeting;Toner for HP P1005-PRINTER TONERS;UnitCost(US$);69
89;CD-089;Retreat - Workshop - Meeting;Toner for P2015-Q7553A-PRINTER TONERS;UnitCost(US$);99
90;CD-090;Retreat - Workshop - Meeting;HP Toner CC364A for P4014dn-PRINTER TONERS;UnitCost(US$);178
91;CD-091;Retreat - Workshop - Meeting;HP Toner CE255A for 3015d-PRINTER TONERS;UnitCost(US$);162
92;CD-092;Retreat - Workshop - Meeting;Toner for HP M4555 MFP CE390A-PRINTER TONERS;UnitCost(US$);308
93;CD-093;Retreat - Workshop - Meeting;Toner Cartridge HP 12A-PRINTER TONERS;UnitCost(US$);61
94;CD-094;Retreat - Workshop - Meeting;toner for 4345mfp-Q5945A-PRINTER TONERS;UnitCost(US$);230
95;CD-095;Retreat - Workshop - Meeting;Toner for HP-LJ Pro-M401dn-PRINTER TONERS;UnitCost(US$);112
96;CD-096;Retreat - Workshop - Meeting;TONER for Kyocera FS4020dn-TK-362-PRINTER TONERS;UnitCost(US$);168
97;CD-097;Retreat - Workshop - Meeting;Toner Cartridge HP C3903A-PRINTER TONERS;UnitCost(US$);124
98;CD-098;Retreat - Workshop - Meeting;Toner Cartridge HP C4092A-PRINTER TONERS;UnitCost(US$);75
99;CD-099;Retreat - Workshop - Meeting;Toner Cartridge HP C9730A Black-PRINTER TONERS;UnitCost(US$);187
100;CD-100;Retreat - Workshop - Meeting;Toner Cartridge HP C9731A Cyan-PRINTER TONERS;UnitCost(US$);213
101;CD-101;Retreat - Workshop - Meeting;Toner Cartridge HP C9732A Yellow-PRINTER TONERS;UnitCost(US$);213
102;CD-102;Retreat - Workshop - Meeting;Toner Cartridge HP C9733A Magenta-PRINTER TONERS;UnitCost(US$);213
103;CD-103;Retreat - Workshop - Meeting;Toner Cartridge HP Q1338A-PRINTER TONERS;UnitCost(US$);202
104;CD-104;Retreat - Workshop - Meeting;CD Recordable-DISKS;UnitCost(US$);0
105;CD-105;Retreat - Workshop - Meeting;CD Rewritable-DISKS;UnitCost(US$);1
106;CD-106;Retreat - Workshop - Meeting;DVD-RW-DISKS;UnitCost(US$);1
107;CD-107;Retreat - Workshop - Meeting;Flash Disk, 2GB-DISKS;UnitCost(US$);12
108;CD-108;Retreat - Workshop - Meeting;Flash Disk, 4GB-DISKS;UnitCost(US$);16
109;CD-109;Retreat - Workshop - Meeting;UPS battery 12v -UPS Batteries;UnitCost(US$);25
110;CD-110;Retreat - Workshop - Meeting;Table Calendar  -Calendars and stamps;UnitCost(US$);3
111;CD-111;Retreat - Workshop - Meeting;Round stamp-Calendars and stamps;UnitCost(US$);20
112;CD-112;IT Equipment;Desktop Computer incl. Display - Purchase per Unit-IT Equipment - Purchase;UnitCost(US$);2000
113;CD-113;IT Equipment;Desktop Computer incl. Display - Rental per Unit-IT Equipment - Rental;Daily Rate (US$);50
114;CD-114;IT Equipment;Laptop - Purchase per Unit-IT Equipment - Purchase;UnitCost(US$);1500
115;CD-115;IT Equipment;Laptop- Rental per Unit-IT Equipment - Rental;Daily Rate (US$);25
116;CD-116;IT Equipment;Printer - Purchase per Unit-IT Equipment - Purchase;UnitCost(US$);1500
117;CD-117;IT Equipment;Printer- Rental per Unit-IT Equipment - Rental;Daily Rate (US$);25
118;CD-118;IT Equipment;Scanner - Purchase per Unit-IT Equipment - Purchase;UnitCost(US$);1500
119;CD-119;IT Equipment;Scanner- Rental per Unit-IT Equipment - Rental;Daily Rate (US$);200
120;CD-120;IT Equipment;Heavy Duty Copy Machine- Rental per Unit-IT Equipment - Rental;Daily Rate (US$);181
121;CD-121;IT Equipment;Heavy Duty Copy Machine - Purchase per Unit-IT Equipment - Purchase;UnitCost(US$);8000
122;CD-122;IT Equipment;Projector + Screen- Rental per Unit-IT Equipment - Rental;Daily Rate (US$);120
123;CD-123;IT Equipment;Projector + Screen - Purchase per Unit-IT Equipment - Purchase;UnitCost(US$);500
124;CD-124;Office Equipment;Desk - Rental per Unit-Office Equipment - Rental;Daily Rate (US$);25
125;CD-125;Office Equipment;Chair - Rental per Unit-Office Equipment - Rental;Daily Rate (US$);20
126;CD-126;Office Equipment;Office Container  - Rental per Unit-Office Equipment - Rental;Daily Rate (US$);150
127;CD-127;Office Equipment;Cabinet  - Rental per Unit-Office Equipment - Rental;Daily Rate (US$);150
128;CD-128;Office Equipment;Other Items (Ink for Copier and Printer) - Rental per Unit-Office Equipment - Rental;Daily Rate (US$);200
129;CD-129;Other Items - Supplies;Typing Paper A4 for Typewriter - Per packet-Other Items - Supplies;UnitCost(US$);20
130;CD-130;Other Items - Supplies;Writing Pad with line A5 - Per Pad-Other Items - Supplies;UnitCost(US$);0
131;CD-131;Other Items - Supplies;USB flash Disk: USB 2.0 flash Drive 512MB GENx - Per Pcs-Other Items - Supplies;UnitCost(US$);3
132;CD-132;Other Items - Supplies;USB Stick 250mb - Per Pcs-Other Items - Supplies;UnitCost(US$);2
133;CD-133;Other Items - Supplies;White Ash - Pencil Type - Per Pcs-Other Items - Supplies;UnitCost(US$);0
134;CD-134;Other Items - Supplies;White Board Marker - Per Pcs-Other Items - Supplies;UnitCost(US$);0
135;CD-135;Other Items - Supplies;White correcting fluid - Per Bottle-Other Items - Supplies;UnitCost(US$);0
136;CD-136;Other Items - Supplies;White Envelop Assorted Size (A4 & A5) - Per Pcs-Other Items - Supplies;UnitCost(US$);0
137;CD-137;Other Items - Supplies;Wire band note book - Per Pcs-Other Items - Supplies;UnitCost(US$);0
138;CD-138;Other Items - Supplies;Writing pad with line A 4 size  - Per Pad-Other Items - Supplies;UnitCost(US$);0
139;CD-139;Non Stock Items;Stand Alone Banner 2m*80cm-BANNERS;UnitCost(US$);136
140;CD-140;Non Stock Items;Road Banner 6m*1.50-BANNERS;UnitCost(US$);122
141;CD-141;Non Stock Items;Roll up Banner (With Thematic messages)-BANNERS;UnitCost(US$);85
142;CD-142;Non Stock Items;Banner 3x1-BANNERS;UnitCost(US$);29
143;CD-143;Non Stock Items;Wall banner-BANNERS;UnitCost(US$);133
144;CD-144;Non Stock Items;Bill board-BANNERS;UnitCost(US$);1005
145;CD-145;Non Stock Items;Water 0.5L-Bottled water;UnitCost(US$);0
146;CD-146;Non Stock Items;Art paper white 250 gm-PRINTING PAPERS;UnitCost(US$);86
147;CD-147;Non Stock Items;white bond paper 180 gm-PRINTING PAPERS;UnitCost(US$);47
148;CD-148;Non Stock Items;White glossy paper 100gm-PRINTING PAPERS;UnitCost(US$);110
149;CD-149;Non Stock Items;Color Bond paper 180 gm-PRINTING PAPERS;UnitCost(US$);47
150;CD-150;Non Stock Items;AU MAST FLAGS DOUBLE SIDED-AU FLAGS;UnitCost(US$);145
151;CD-151;Non Stock Items;AU DESK FLAGS -AU FLAGS;UnitCost(US$);64
152;CD-152;Non Stock Items;Teardrop flags-AU FLAGS;UnitCost(US$);107
153;CD-153;Non Stock Items;Medals-AU MEDALS AND BERETS;UnitCost(US$);15
154;CD-154;Non Stock Items;AU Beret with Leather Bands-AU MEDALS AND BERETS;UnitCost(US$);6
155;CD-155;Non Stock Items;Arm bands-AU MEDALS AND BERETS;UnitCost(US$);5
156;CD-156;Non Stock Items;Scarves-AU MEDALS AND BERETS;UnitCost(US$);5
157;CD-157;Non Stock Items;Insignia for Beret-AU MEDALS AND BERETS;UnitCost(US$);4
158;CD-158;Non Stock Items;Brochures A5-BOOKLETS AND BROCHURES;UnitCost(US$);1
159;CD-159;Non Stock Items;catalogue-BOOKLETS AND BROCHURES;UnitCost(US$);3
160;CD-160;Non Stock Items;booklet-BOOKLETS AND BROCHURES;UnitCost(US$);2
161;CD-161;Non Stock Items;flyer-BOOKLETS AND BROCHURES;UnitCost(US$);0
162;CD-162;Non Stock Items;Dairy-BOOKLETS AND BROCHURES;UnitCost(US$);5
