1;AUC
2;REC Staff
3;Member State (Government)
4;Member State (Parliament)
5;NGOs
6;Private sector
7;UN Organisation
8;Other International Organisation
9;Private Sector Participants
10;Youth Organisation
11;Women Organisation
12;Research Center
13;Academia or Scholars
14;Community leaders
15;Others
