179;Thailand;Bangkok;0
180;Togo;Lome;1
181;Tonga;Nuku'alofa;0
182;Trinidad and Tobago;Port of Spain;0
183;Tunisia;Tunis;1
184;Turkey;Ankara;0
185;Turkmenistan;Ashgabat;0
186;Tuvalu;Funafuti;0
187;Uganda;Kampala;1
188;Ukraine;Kiev;0
189;United Arab Emirates;Abu Dhabi;0
190;United Kingdom;London;0
191;United States;Washington D.C.;0
192;Uruguay;Montevideo;0
193;Uzbekistan;Tashkent;0
194;Vanuatu;Port Vila;0
195;Vatican City;Vatican City;0
196;Venezuela;Caracas;0
197;Vietnam;Hanoi;0
198;Wales;Cardiff;0
199;Yemen;Sana'a;0
200;Zambia;Lusaka;1
201;Zimbabwe;Harare;1
202;Other;Other;1
